gender,mastercategory,subcategory,articletype,usage,color,result,images
Men,Accessories,Bags,Duffel Bag,Casual,gray,"Men wear ""gray Duffel Bag""",
Men,Accessories,Bags,Duffel Bag,Casual,green,"Men wear ""green Duffel Bag""",
Men,Accessories,Bags,Duffel Bag,Casual,orange,"Men wear ""orange Duffel Bag""",
Men,Accessories,Bags,Duffel Bag,Casual,pink,"Men wear ""pink Duffel Bag""",
Men,Accessories,Bags,Duffel Bag,Casual,purple,"Men wear ""purple Duffel Bag""",
Men,Accessories,Bags,Duffel Bag,Casual,red,"Men wear ""red Duffel Bag""",
Men,Accessories,Bags,Duffel Bag,Casual,white,"Men wear ""white Duffel Bag""",
Men,Accessories,Bags,Duffel Bag,Casual,yellow,"Men wear ""yellow Duffel Bag""",
Men,Accessories,Bags,Handbags,Casual,black,"Men wear ""black Handbags""",
Men,Accessories,Bags,Handbags,Casual,blue,"Men wear ""blue Handbags""",
Men,Accessories,Bags,Handbags,Casual,brown,"Men wear ""brown Handbags""",
Men,Accessories,Bags,Handbags,Casual,gray,"Men wear ""gray Handbags""",
Men,Accessories,Bags,Handbags,Casual,green,"Men wear ""green Handbags""",
Men,Accessories,Bags,Handbags,Casual,orange,"Men wear ""orange Handbags""",
Men,Accessories,Bags,Handbags,Casual,pink,"Men wear ""pink Handbags""",
Men,Accessories,Bags,Handbags,Casual,purple,"Men wear ""purple Handbags""",
Men,Accessories,Bags,Handbags,Casual,red,"Men wear ""red Handbags""",
Men,Accessories,Bags,Handbags,Casual,white,"Men wear ""white Handbags""",
Men,Accessories,Bags,Handbags,Casual,yellow,"Men wear ""yellow Handbags""",
Men,Accessories,Bags,Handbags,Travel,black,"Men wear ""black Handbags""",
Men,Accessories,Bags,Handbags,Travel,blue,"Men wear ""blue Handbags""",
Men,Accessories,Bags,Handbags,Travel,brown,"Men wear ""brown Handbags""",
Men,Accessories,Bags,Handbags,Travel,gray,"Men wear ""gray Handbags""",
Men,Accessories,Bags,Handbags,Travel,green,"Men wear ""green Handbags""",
Men,Accessories,Bags,Handbags,Travel,orange,"Men wear ""orange Handbags""",
Men,Accessories,Bags,Handbags,Travel,pink,"Men wear ""pink Handbags""",
Men,Accessories,Bags,Handbags,Travel,purple,"Men wear ""purple Handbags""",
Men,Accessories,Bags,Handbags,Travel,red,"Men wear ""red Handbags""",
Men,Accessories,Bags,Handbags,Travel,white,"Men wear ""white Handbags""",
Men,Accessories,Bags,Handbags,Travel,yellow,"Men wear ""yellow Handbags""",
Men,Accessories,Bags,Laptop Bag,Casual,black,"Men wear ""black Laptop Bag""",
Men,Accessories,Bags,Laptop Bag,Casual,blue,"Men wear ""blue Laptop Bag""",
Men,Accessories,Bags,Laptop Bag,Casual,brown,"Men wear ""brown Laptop Bag""",
Men,Accessories,Bags,Laptop Bag,Casual,gray,"Men wear ""gray Laptop Bag""",
Men,Accessories,Bags,Laptop Bag,Casual,green,"Men wear ""green Laptop Bag""",
Men,Accessories,Bags,Laptop Bag,Casual,orange,"Men wear ""orange Laptop Bag""",
Men,Accessories,Bags,Laptop Bag,Casual,pink,"Men wear ""pink Laptop Bag""",
Men,Accessories,Bags,Laptop Bag,Casual,purple,"Men wear ""purple Laptop Bag""",
Men,Accessories,Bags,Laptop Bag,Casual,red,"Men wear ""red Laptop Bag""",
Men,Accessories,Bags,Laptop Bag,Casual,white,"Men wear ""white Laptop Bag""",
Men,Accessories,Bags,Laptop Bag,Casual,yellow,"Men wear ""yellow Laptop Bag""",
Men,Accessories,Bags,Messenger Bag,Casual,black,"Men wear ""black Messenger Bag""",
Men,Accessories,Bags,Messenger Bag,Casual,blue,"Men wear ""blue Messenger Bag""",
Men,Accessories,Bags,Messenger Bag,Casual,brown,"Men wear ""brown Messenger Bag""",
Men,Accessories,Bags,Messenger Bag,Casual,gray,"Men wear ""gray Messenger Bag""",
Men,Accessories,Bags,Messenger Bag,Casual,green,"Men wear ""green Messenger Bag""",
Men,Accessories,Bags,Messenger Bag,Casual,orange,"Men wear ""orange Messenger Bag""",
Men,Accessories,Bags,Messenger Bag,Casual,pink,"Men wear ""pink Messenger Bag""",
Men,Accessories,Bags,Messenger Bag,Casual,purple,"Men wear ""purple Messenger Bag""",
Men,Accessories,Bags,Messenger Bag,Casual,red,"Men wear ""red Messenger Bag""",
Men,Accessories,Bags,Messenger Bag,Casual,white,"Men wear ""white Messenger Bag""",
Men,Accessories,Bags,Messenger Bag,Casual,yellow,"Men wear ""yellow Messenger Bag""",
Men,Accessories,Belts,Belts,Casual,black,"Men wear ""black Belts""",
Men,Accessories,Belts,Belts,Casual,blue,"Men wear ""blue Belts""",
Men,Accessories,Belts,Belts,Casual,brown,"Men wear ""brown Belts""",
Men,Accessories,Belts,Belts,Casual,gray,"Men wear ""gray Belts""",
Men,Accessories,Belts,Belts,Casual,green,"Men wear ""green Belts""",
Men,Accessories,Belts,Belts,Casual,orange,"Men wear ""orange Belts""",
Men,Accessories,Belts,Belts,Casual,pink,"Men wear ""pink Belts""",
Men,Accessories,Belts,Belts,Casual,purple,"Men wear ""purple Belts""",
Men,Accessories,Belts,Belts,Casual,red,"Men wear ""red Belts""",
Men,Accessories,Belts,Belts,Casual,white,"Men wear ""white Belts""",
Men,Accessories,Belts,Belts,Casual,yellow,"Men wear ""yellow Belts""",
Men,Accessories,Belts,Belts,Formal,black,"Men wear ""black Belts""",
Men,Accessories,Belts,Belts,Formal,blue,"Men wear ""blue Belts""",
Men,Accessories,Belts,Belts,Formal,brown,"Men wear ""brown Belts""",
Men,Accessories,Belts,Belts,Formal,gray,"Men wear ""gray Belts""",
Men,Accessories,Belts,Belts,Formal,green,"Men wear ""green Belts""",
Men,Accessories,Belts,Belts,Formal,orange,"Men wear ""orange Belts""",
Men,Accessories,Belts,Belts,Formal,pink,"Men wear ""pink Belts""",
Men,Accessories,Belts,Belts,Formal,purple,"Men wear ""purple Belts""",
Men,Accessories,Belts,Belts,Formal,red,"Men wear ""red Belts""",
Men,Accessories,Belts,Belts,Formal,white,"Men wear ""white Belts""",
Men,Accessories,Belts,Belts,Formal,yellow,"Men wear ""yellow Belts""",
Men,Accessories,Belts,Belts,Smart Casual,black,"Men wear ""black Belts""",
Men,Accessories,Belts,Belts,Smart Casual,blue,"Men wear ""blue Belts""",
Men,Accessories,Belts,Belts,Smart Casual,brown,"Men wear ""brown Belts""",
Men,Accessories,Belts,Belts,Smart Casual,gray,"Men wear ""gray Belts""",
Men,Accessories,Belts,Belts,Smart Casual,green,"Men wear ""green Belts""",
Men,Accessories,Belts,Belts,Smart Casual,orange,"Men wear ""orange Belts""",
Men,Accessories,Belts,Belts,Smart Casual,pink,"Men wear ""pink Belts""",
Men,Accessories,Belts,Belts,Smart Casual,purple,"Men wear ""purple Belts""",
Men,Accessories,Belts,Belts,Smart Casual,red,"Men wear ""red Belts""",
Men,Accessories,Belts,Belts,Smart Casual,white,"Men wear ""white Belts""",
Men,Accessories,Belts,Belts,Smart Casual,yellow,"Men wear ""yellow Belts""",
Men,Accessories,Belts,Tshirts,Casual,black,"Men wear ""black Tshirts""",
Men,Accessories,Belts,Tshirts,Casual,blue,"Men wear ""blue Tshirts""",
Men,Accessories,Belts,Tshirts,Casual,brown,"Men wear ""brown Tshirts""",
Men,Accessories,Belts,Tshirts,Casual,gray,"Men wear ""gray Tshirts""",
Men,Accessories,Belts,Tshirts,Casual,green,"Men wear ""green Tshirts""",
Men,Accessories,Belts,Tshirts,Casual,orange,"Men wear ""orange Tshirts""",
Men,Accessories,Belts,Tshirts,Casual,pink,"Men wear ""pink Tshirts""",
Men,Accessories,Belts,Tshirts,Casual,purple,"Men wear ""purple Tshirts""",
Men,Accessories,Belts,Tshirts,Casual,red,"Men wear ""red Tshirts""",
Men,Accessories,Belts,Tshirts,Casual,white,"Men wear ""white Tshirts""",
Men,Accessories,Belts,Tshirts,Casual,yellow,"Men wear ""yellow Tshirts""",
Men,Accessories,Cufflinks,Cufflinks,Casual,black,"Men wear ""black Cufflinks""",
Men,Accessories,Cufflinks,Cufflinks,Casual,blue,"Men wear ""blue Cufflinks""",
Men,Accessories,Cufflinks,Cufflinks,Casual,brown,"Men wear ""brown Cufflinks""",
Men,Accessories,Cufflinks,Cufflinks,Casual,gray,"Men wear ""gray Cufflinks""",
Men,Accessories,Cufflinks,Cufflinks,Casual,green,"Men wear ""green Cufflinks""",
Men,Accessories,Cufflinks,Cufflinks,Casual,orange,"Men wear ""orange Cufflinks""",
Men,Accessories,Cufflinks,Cufflinks,Casual,pink,"Men wear ""pink Cufflinks""",
Men,Accessories,Cufflinks,Cufflinks,Casual,purple,"Men wear ""purple Cufflinks""",
Men,Accessories,Cufflinks,Cufflinks,Casual,red,"Men wear ""red Cufflinks""",
Men,Accessories,Cufflinks,Cufflinks,Casual,white,"Men wear ""white Cufflinks""",
Men,Accessories,Cufflinks,Cufflinks,Casual,yellow,"Men wear ""yellow Cufflinks""",
Men,Accessories,Cufflinks,Cufflinks,Formal,black,"Men wear ""black Cufflinks""",
Men,Accessories,Cufflinks,Cufflinks,Formal,blue,"Men wear ""blue Cufflinks""",
Men,Accessories,Cufflinks,Cufflinks,Formal,brown,"Men wear ""brown Cufflinks""",
Men,Accessories,Cufflinks,Cufflinks,Formal,gray,"Men wear ""gray Cufflinks""",
Men,Accessories,Cufflinks,Cufflinks,Formal,green,"Men wear ""green Cufflinks""",
Men,Accessories,Cufflinks,Cufflinks,Formal,orange,"Men wear ""orange Cufflinks""",
Men,Accessories,Cufflinks,Cufflinks,Formal,pink,"Men wear ""pink Cufflinks""",
Men,Accessories,Cufflinks,Cufflinks,Formal,purple,"Men wear ""purple Cufflinks""",
Men,Accessories,Cufflinks,Cufflinks,Formal,red,"Men wear ""red Cufflinks""",
Men,Accessories,Cufflinks,Cufflinks,Formal,white,"Men wear ""white Cufflinks""",
Men,Accessories,Cufflinks,Cufflinks,Formal,yellow,"Men wear ""yellow Cufflinks""",
Men,Accessories,Eyewear,Sunglasses,Casual,black,"Men wear ""black Sunglasses""",
Men,Accessories,Eyewear,Sunglasses,Casual,blue,"Men wear ""blue Sunglasses""",
Men,Accessories,Eyewear,Sunglasses,Casual,brown,"Men wear ""brown Sunglasses""",
Men,Accessories,Eyewear,Sunglasses,Casual,gray,"Men wear ""gray Sunglasses""",
Men,Accessories,Eyewear,Sunglasses,Casual,green,"Men wear ""green Sunglasses""",
Men,Accessories,Eyewear,Sunglasses,Casual,orange,"Men wear ""orange Sunglasses""",
Men,Accessories,Eyewear,Sunglasses,Casual,pink,"Men wear ""pink Sunglasses""",
Men,Accessories,Eyewear,Sunglasses,Casual,purple,"Men wear ""purple Sunglasses""",
Men,Accessories,Eyewear,Sunglasses,Casual,red,"Men wear ""red Sunglasses""",
Men,Accessories,Eyewear,Sunglasses,Casual,white,"Men wear ""white Sunglasses""",
Men,Accessories,Eyewear,Sunglasses,Casual,yellow,"Men wear ""yellow Sunglasses""",
Men,Accessories,Eyewear,Sunglasses,Sports,black,"Men wear ""black Sunglasses""",
Men,Accessories,Eyewear,Sunglasses,Sports,blue,"Men wear ""blue Sunglasses""",
Men,Accessories,Eyewear,Sunglasses,Sports,brown,"Men wear ""brown Sunglasses""",
Men,Accessories,Eyewear,Sunglasses,Sports,gray,"Men wear ""gray Sunglasses""",
Men,Accessories,Eyewear,Sunglasses,Sports,green,"Men wear ""green Sunglasses""",
Men,Accessories,Eyewear,Sunglasses,Sports,orange,"Men wear ""orange Sunglasses""",
Men,Accessories,Eyewear,Sunglasses,Sports,pink,"Men wear ""pink Sunglasses""",
Men,Accessories,Eyewear,Sunglasses,Sports,purple,"Men wear ""purple Sunglasses""",
Men,Accessories,Eyewear,Sunglasses,Sports,red,"Men wear ""red Sunglasses""",
Men,Accessories,Eyewear,Sunglasses,Sports,white,"Men wear ""white Sunglasses""",
Men,Accessories,Eyewear,Sunglasses,Sports,yellow,"Men wear ""yellow Sunglasses""",
Men,Accessories,Gloves,Gloves,Casual,black,"Men wear ""black Gloves""",
Men,Accessories,Gloves,Gloves,Casual,blue,"Men wear ""blue Gloves""",
Men,Accessories,Gloves,Gloves,Casual,brown,"Men wear ""brown Gloves""",
Men,Accessories,Gloves,Gloves,Casual,gray,"Men wear ""gray Gloves""",
Men,Accessories,Gloves,Gloves,Casual,green,"Men wear ""green Gloves""",
Men,Accessories,Gloves,Gloves,Casual,orange,"Men wear ""orange Gloves""",
Men,Accessories,Gloves,Gloves,Casual,pink,"Men wear ""pink Gloves""",
Men,Accessories,Gloves,Gloves,Casual,purple,"Men wear ""purple Gloves""",
Men,Accessories,Gloves,Gloves,Casual,red,"Men wear ""red Gloves""",
Men,Accessories,Gloves,Gloves,Casual,white,"Men wear ""white Gloves""",
Men,Accessories,Gloves,Gloves,Casual,yellow,"Men wear ""yellow Gloves""",
Men,Accessories,Headwear,Caps,Casual,black,"Men wear ""black Caps""",
Men,Accessories,Headwear,Caps,Casual,blue,"Men wear ""blue Caps""",
Men,Accessories,Headwear,Caps,Casual,brown,"Men wear ""brown Caps""",
Men,Accessories,Headwear,Caps,Casual,gray,"Men wear ""gray Caps""",
Men,Accessories,Headwear,Caps,Casual,green,"Men wear ""green Caps""",
Men,Accessories,Headwear,Caps,Casual,orange,"Men wear ""orange Caps""",
Men,Accessories,Headwear,Caps,Casual,pink,"Men wear ""pink Caps""",
Men,Accessories,Headwear,Caps,Casual,purple,"Men wear ""purple Caps""",
Men,Accessories,Headwear,Caps,Casual,red,"Men wear ""red Caps""",
Men,Accessories,Headwear,Caps,Casual,white,"Men wear ""white Caps""",
Men,Accessories,Headwear,Caps,Casual,yellow,"Men wear ""yellow Caps""",
Men,Accessories,Headwear,Caps,Sports,black,"Men wear ""black Caps""",
Men,Accessories,Headwear,Caps,Sports,blue,"Men wear ""blue Caps""",
Men,Accessories,Headwear,Caps,Sports,brown,"Men wear ""brown Caps""",
Men,Accessories,Headwear,Caps,Sports,gray,"Men wear ""gray Caps""",
Men,Accessories,Headwear,Caps,Sports,green,"Men wear ""green Caps""",
Men,Accessories,Headwear,Caps,Sports,orange,"Men wear ""orange Caps""",
Men,Accessories,Headwear,Caps,Sports,pink,"Men wear ""pink Caps""",
Men,Accessories,Headwear,Caps,Sports,purple,"Men wear ""purple Caps""",
Men,Accessories,Headwear,Caps,Sports,red,"Men wear ""red Caps""",
Men,Accessories,Headwear,Caps,Sports,white,"Men wear ""white Caps""",
Men,Accessories,Headwear,Caps,Sports,yellow,"Men wear ""yellow Caps""",
Men,Accessories,Jewellery,Bangle,Casual,black,"Men wear ""black Bangle""",
Men,Accessories,Jewellery,Bangle,Casual,blue,"Men wear ""blue Bangle""",
Men,Accessories,Jewellery,Bangle,Casual,brown,"Men wear ""brown Bangle""",
Men,Accessories,Jewellery,Bangle,Casual,gray,"Men wear ""gray Bangle""",
Men,Accessories,Jewellery,Bangle,Casual,green,"Men wear ""green Bangle""",
Men,Accessories,Jewellery,Bangle,Casual,orange,"Men wear ""orange Bangle""",
Men,Accessories,Jewellery,Bangle,Casual,pink,"Men wear ""pink Bangle""",
Men,Accessories,Jewellery,Bangle,Casual,purple,"Men wear ""purple Bangle""",
Men,Accessories,Jewellery,Bangle,Casual,red,"Men wear ""red Bangle""",
Men,Accessories,Jewellery,Bangle,Casual,white,"Men wear ""white Bangle""",
Men,Accessories,Jewellery,Bangle,Casual,yellow,"Men wear ""yellow Bangle""",
Men,Accessories,Jewellery,Bracelet,Casual,black,"Men wear ""black Bracelet""",
Men,Accessories,Jewellery,Bracelet,Casual,blue,"Men wear ""blue Bracelet""",
Men,Accessories,Jewellery,Bracelet,Casual,brown,"Men wear ""brown Bracelet""",
Men,Accessories,Jewellery,Bracelet,Casual,gray,"Men wear ""gray Bracelet""",
Men,Accessories,Jewellery,Bracelet,Casual,green,"Men wear ""green Bracelet""",
Men,Accessories,Jewellery,Bracelet,Casual,orange,"Men wear ""orange Bracelet""",
Men,Accessories,Jewellery,Bracelet,Casual,pink,"Men wear ""pink Bracelet""",
Men,Accessories,Jewellery,Bracelet,Casual,purple,"Men wear ""purple Bracelet""",
Men,Accessories,Jewellery,Bracelet,Casual,red,"Men wear ""red Bracelet""",
Men,Accessories,Jewellery,Bracelet,Casual,white,"Men wear ""white Bracelet""",
Men,Accessories,Jewellery,Bracelet,Casual,yellow,"Men wear ""yellow Bracelet""",
Men,Accessories,Jewellery,Pendant,Casual,black,"Men wear ""black Pendant""",
Men,Accessories,Jewellery,Pendant,Casual,blue,"Men wear ""blue Pendant""",
Men,Accessories,Jewellery,Pendant,Casual,brown,"Men wear ""brown Pendant""",
Men,Accessories,Jewellery,Pendant,Casual,gray,"Men wear ""gray Pendant""",
Men,Accessories,Jewellery,Pendant,Casual,green,"Men wear ""green Pendant""",
Men,Accessories,Jewellery,Pendant,Casual,orange,"Men wear ""orange Pendant""",
Men,Accessories,Jewellery,Pendant,Casual,pink,"Men wear ""pink Pendant""",
Men,Accessories,Jewellery,Pendant,Casual,purple,"Men wear ""purple Pendant""",
Men,Accessories,Jewellery,Pendant,Casual,red,"Men wear ""red Pendant""",
Men,Accessories,Jewellery,Pendant,Casual,white,"Men wear ""white Pendant""",
Men,Accessories,Jewellery,Pendant,Casual,yellow,"Men wear ""yellow Pendant""",
Men,Accessories,Jewellery,Ring,Casual,black,"Men wear ""black Ring""",
Men,Accessories,Jewellery,Ring,Casual,blue,"Men wear ""blue Ring""",
Men,Accessories,Jewellery,Ring,Casual,brown,"Men wear ""brown Ring""",
Men,Accessories,Jewellery,Ring,Casual,gray,"Men wear ""gray Ring""",
Men,Accessories,Jewellery,Ring,Casual,green,"Men wear ""green Ring""",
Men,Accessories,Jewellery,Ring,Casual,orange,"Men wear ""orange Ring""",
Men,Accessories,Jewellery,Ring,Casual,pink,"Men wear ""pink Ring""",
Men,Accessories,Jewellery,Ring,Casual,purple,"Men wear ""purple Ring""",
Men,Accessories,Jewellery,Ring,Casual,red,"Men wear ""red Ring""",
Men,Accessories,Jewellery,Ring,Casual,white,"Men wear ""white Ring""",
Men,Accessories,Jewellery,Ring,Casual,yellow,"Men wear ""yellow Ring""",
Men,Accessories,Mufflers,Mufflers,Casual,black,"Men wear ""black Mufflers""",
Men,Accessories,Mufflers,Mufflers,Casual,blue,"Men wear ""blue Mufflers""",
Men,Accessories,Mufflers,Mufflers,Casual,brown,"Men wear ""brown Mufflers""",
Men,Accessories,Mufflers,Mufflers,Casual,gray,"Men wear ""gray Mufflers""",
Men,Accessories,Mufflers,Mufflers,Casual,green,"Men wear ""green Mufflers""",
Men,Accessories,Mufflers,Mufflers,Casual,orange,"Men wear ""orange Mufflers""",
Men,Accessories,Mufflers,Mufflers,Casual,pink,"Men wear ""pink Mufflers""",
Men,Accessories,Mufflers,Mufflers,Casual,purple,"Men wear ""purple Mufflers""",
Men,Accessories,Mufflers,Mufflers,Casual,red,"Men wear ""red Mufflers""",
Men,Accessories,Mufflers,Mufflers,Casual,white,"Men wear ""white Mufflers""",
Men,Accessories,Mufflers,Mufflers,Casual,yellow,"Men wear ""yellow Mufflers""",
Men,Accessories,Perfumes,Perfume and Body Mist,Casual,black,"Men wear ""black Perfume and Body Mist""",
Men,Accessories,Perfumes,Perfume and Body Mist,Casual,blue,"Men wear ""blue Perfume and Body Mist""",
Men,Accessories,Perfumes,Perfume and Body Mist,Casual,brown,"Men wear ""brown Perfume and Body Mist""",
Men,Accessories,Perfumes,Perfume and Body Mist,Casual,gray,"Men wear ""gray Perfume and Body Mist""",
Men,Accessories,Perfumes,Perfume and Body Mist,Casual,green,"Men wear ""green Perfume and Body Mist""",
Men,Accessories,Perfumes,Perfume and Body Mist,Casual,orange,"Men wear ""orange Perfume and Body Mist""",
Men,Accessories,Perfumes,Perfume and Body Mist,Casual,pink,"Men wear ""pink Perfume and Body Mist""",
Men,Accessories,Perfumes,Perfume and Body Mist,Casual,purple,"Men wear ""purple Perfume and Body Mist""",
Men,Accessories,Perfumes,Perfume and Body Mist,Casual,red,"Men wear ""red Perfume and Body Mist""",
Men,Accessories,Perfumes,Perfume and Body Mist,Casual,white,"Men wear ""white Perfume and Body Mist""",
Men,Accessories,Perfumes,Perfume and Body Mist,Casual,yellow,"Men wear ""yellow Perfume and Body Mist""",
Men,Accessories,Scarves,Scarves,Casual,black,"Men wear ""black Scarves""",
Men,Accessories,Scarves,Scarves,Casual,blue,"Men wear ""blue Scarves""",
Men,Accessories,Scarves,Scarves,Casual,brown,"Men wear ""brown Scarves""",
